road,km,segments,czones,crashes_total,crashes_fatal,crashes_per_km,wl_points,wl_events,cv_covered_segs,cv_images,cv_detections,cv_damage_per_frame
Bawana - Auchandi Border Road,0.5,1,0,0,0,0.0,0,0,0,0,0,
Mayur Vihar Phase1 Flyover,2.0,6,0,0,0,0.0,1,1,0,0,0,
Bahadurgarh Bypass,0.7,3,0,0,0,0.0,0,0,0,0,0,
Wazirabad Flyover,2.3,10,0,0,0,0.0,1,1,0,0,0,
Dichaon Road,0.2,1,0,0,0,0.0,0,0,0,0,0,
NH344M,5.4,11,0,0,0,0.0,0,0,0,0,0,
Delhi-Noida Direct Flyway,1.2,4,0,0,0,0.0,0,0,0,0,0,
Burari Flyover,1.7,10,0,0,0,0.0,0,0,0,0,0,
Shastri Park Flyover,1.7,11,0,0,0,0.0,1,5,0,0,0,
National Highway 24 Bypass,2.0,10,0,0,0,0.0,1,1,1,3,0,0.0
Signature Bridge,1.2,2,0,0,0,0.0,0,0,0,0,0,
UER II,3.0,5,0,0,0,0.0,0,0,0,0,0,
Rao Tula Ram Flyover,3.7,10,0,0,0,0.0,0,0,1,2,0,0.0
Mehrauli Gurgaon Road,0.2,1,0,0,0,0.0,0,0,0,0,0,
Keshav Chowk,0.1,1,0,0,0,0.0,0,0,0,0,0,
NH236,0.1,3,0,0,0,0.0,0,0,0,0,0,
Badarpur Railway Underpass,0.5,7,0,0,0,0.0,0,0,1,1,0,0.0
Najafgarh Dhansa Road,3.7,7,0,0,0,0.0,0,0,0,0,0,
Auchandi Road,0.0,2,0,0,0,0.0,0,0,0,0,0,
DND KMP Expressway,6.0,13,0,0,0,0.0,0,0,0,0,0,
Ashram Underpass,1.0,10,0,0,0,0.0,0,0,5,5,2,0.4
Panjabi Bagh Underpass,0.6,2,0,0,0,0.0,0,0,0,0,0,
DND-KMP Expressway,2.5,3,0,0,0,0.0,0,0,0,0,0,
Northern Access Rd,0.0,1,0,0,0,0.0,0,0,1,4,0,0.0
Jagdish Anand Chowk,0.0,2,0,0,0,0.0,0,0,0,0,0,
Rampura More,0.0,2,0,0,0,0.0,0,0,0,0,0,
