segment_id,road,road_canonical,highway,km,mid_lon,mid_lat,czones,crashes_total,crashes_fatal,wl_points,wl_events,cv_images,cv_detections,cv_damage_per_frame,n_sources
munirka-flyover_190307552_0,Munirka Flyover,Munirka Flyover,primary,1.175,77.169825,28.560713,,,,,,3,0,0.0,1
munirka-flyover_190307552_1,Munirka Flyover,Munirka Flyover,primary,0.036,77.175403,28.556219,,,,,,0,,,0
munirka-flyover_190307554_0,Munirka Flyover,Munirka Flyover,primary,0.23,77.175005,28.556378,,,,,,0,,,0
munirka-flyover_190307558_0,Munirka Flyover,Munirka Flyover,primary,0.985,77.169491,28.560937,,,,,,3,0,0.0,1
palam-marg_190307560_0,Palam Marg,Palam Marg,primary,0.457,77.178152,28.554394,,,,,,8,0,0.0,1
bharthal-railway-underpass_190358329_0,Bharthal Railway Underpass,Bharthal Railway Underpass,trunk,0.149,77.058539,28.546672,,,,,,8,0,0.0,1
bharthal-railway-underpass_190358330_0,Bharthal Railway Underpass,Bharthal Railway Underpass,trunk,0.147,77.059857,28.546012,,,,,,8,0,0.0,1
urban-extension-road-ii_193824811_0,Urban Extension Road-II,Urban Extension Road-II,trunk,0.736,76.997911,28.647072,,,,,,0,,,0
urban-extension-road-ii_194271811_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.037,76.994513,28.640139,,,,,,0,,,0
urban-extension-road-ii_194271811_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.902,76.999403,28.632151,,,,,,0,,,0
kirby-place-junction_195207623_0,Kirby Place Junction,Kirby Place Junction,primary,0.01,77.127592,28.605026,,,,,,0,,,0
cariappa-marg_195207624_0,Cariappa Marg,Cariappa Marg,primary,0.038,77.125139,28.60589,,,,,,0,,,0
cariappa-marg_195207626_0,Cariappa Marg,Cariappa Marg,primary,0.421,77.121821,28.607178,,,,,,0,,,0
pankha-road_195207629_0,Pankha Road,Pankha Road,primary,0.548,77.114138,28.604497,,,,,,0,,,0
pankha-road_195207630_0,Pankha Road,Pankha Road,primary,0.517,77.110014,28.605242,,,,,,0,,,0
pankha-road_195207631_0,Pankha Road,Pankha Road,primary,0.511,77.110366,28.60516,,,,,,0,,,0
cariappa-marg_195207632_0,Cariappa Marg,Cariappa Marg,primary,0.043,77.125709,28.605838,,,,,,0,,,0
pankha-road_195207633_0,Pankha Road,Pankha Road,primary,1.094,77.100312,28.609257,,,,,,0,,,0
pankha-road_195207633_1,Pankha Road,Pankha Road,primary,0.479,77.091593,28.611197,,,,,,0,,,0
rohtak-road_198065394_0,Rohtak Road,Rohtak Road,trunk,1.007,77.091236,28.679779,,,,,,0,,,0
rohtak-road_198065394_1,Rohtak Road,Rohtak Road,trunk,0.752,77.079606,28.681085,2,20,6,,,0,,,1
rohtak-road_198065397_0,Rohtak Road,Rohtak Road,primary,0.112,77.096528,28.679404,,,,,,0,,,0
mathura-road_202645528_0,Mathura Road,Mathura Road,trunk,1.145,77.273107,28.552666,,,,,,0,,,0
mathura-road_202645528_1,Mathura Road,Mathura Road,trunk,1.014,77.279575,28.54366,,,,,,0,,,0
mathura-road_202645528_2,Mathura Road,Mathura Road,trunk,0.223,77.282543,28.539884,,,,,,0,,,0
mathura-road_202645529_0,Mathura Road,Mathura Road,primary,0.25,77.256972,28.574006,,,,,,8,1,0.125,1
rohtak-road_202664784_0,Rohtak Road,Rohtak Road,primary,1.16,77.132339,28.674612,,,,,,0,,,0
rohtak-road_202664784_1,Rohtak Road,Rohtak Road,primary,1.05,77.119235,28.676378,1,6,5,,,0,,,1
rohtak-road_202664784_2,Rohtak Road,Rohtak Road,primary,0.033,77.114157,28.676999,,,,,,0,,,0
zakhira-flyover_202664785_0,Zakhira Flyover,Zakhira Flyover,primary,0.136,77.160969,28.670421,,,,,,0,,,0
panjabi-bagh-underpass_202664787_0,Panjabi bagh Underpass,Panjabi bagh Underpass,primary,0.311,77.139561,28.673855,,,,,,0,,,0
unnamed_202672558_0,unnamed,unnamed,primary,0.014,77.176809,28.507714,,,,,,0,,,0
abdul-gaffar-khan-marg_202672559_0,Abdul Gaffar Khan Marg,Abdul Gaffar Khan Marg,primary,1.029,77.170254,28.510291,,,,,,0,,,0
abdul-gaffar-khan-marg_202672559_1,Abdul Gaffar Khan Marg,Abdul Gaffar Khan Marg,primary,0.273,77.165106,28.513502,1,7,3,2,2,0,,,2
anuvrat-marg_202672560_0,Anuvrat Marg,Anuvrat Marg,trunk,0.805,77.178884,28.509235,,,,,,0,,,0
mahatma-gandhi-marg_202675176_0,Mahatma Gandhi Marg,Ring Road,primary,0.493,77.240166,28.564845,,,,1,1,8,1,0.125,2
nizamuddin-railway-station-flyover_202678360_0,Nizamuddin Railway Station Flyover,Nizamuddin Railway Station Flyover,trunk,0.092,77.257639,28.592412,,,,,,0,,,0
doctor-kb-hedgewar-marg_202762524_0,Doctor KB Hedgewar Marg,Outer Ring Road,trunk,1.032,77.22908,28.682689,,,,,,8,0,0.0,1
doctor-kb-hedgewar-marg_202762524_1,Doctor KB Hedgewar Marg,Outer Ring Road,trunk,0.824,77.227703,28.691543,,,,,,7,0,0.0,1
mahatma-gandhi-road_202762525_0,Mahatma Gandhi Road,Ring Road,trunk,0.885,77.230987,28.675939,,,,,,8,0,0.0,1
delhi-meerut-expressway_202801080_0,Delhi - Meerut Expressway,Delhi - Meerut Expressway,motorway,0.721,77.28402,28.614669,,,,,,0,,,0
delhi-meerut-expressway_202801081_0,Delhi - Meerut Expressway,Delhi - Meerut Expressway,motorway,0.32,77.275449,28.606757,,,,,,0,,,0
flyover_202801082_0,Flyover,Flyover,trunk,0.209,77.272888,28.605761,,,,,,0,,,0
delhi-meerut-expressway_202801083_0,Delhi - Meerut Expressway,Delhi - Meerut Expressway,motorway,0.32,77.273807,28.60589,,,,,,0,,,0
flyover_202801084_0,Flyover,Flyover,trunk,0.209,77.271637,28.604752,,,,,,0,,,0
flyover_202801085_0,Flyover,Flyover,trunk,0.255,77.276769,28.607579,,,,,,0,,,0
flyover_202801086_0,Flyover,Flyover,trunk,0.331,77.277019,28.60729,,,,,,0,,,0
delhi-meerut-expressway_202801087_0,Delhi - Meerut Expressway,Delhi - Meerut Expressway,motorway,0.422,77.267189,28.602777,,,,,,0,,,0
sham-nath-marg_202830263_0,Sham Nath Marg,Sham Nath Marg,primary,1.038,77.221771,28.68597,,,,,,0,,,0
sham-nath-marg_202830263_1,Sham Nath Marg,Sham Nath Marg,primary,0.186,77.220992,28.691768,,,,,,0,,,0
mahatma-gandhi-marg_202830264_0,Mahatma Gandhi Marg,Ring Road,primary,0.057,77.229086,28.67973,,,,,,8,0,0.0,1
pankha-road_202970027_0,Pankha Road,Pankha Road,primary,0.972,77.098842,28.609213,,,,,,0,,,0
najafgarh-daurala-road_202974527_0,Najafgarh Daurala Road,Najafgarh Daurala Road,primary,1.009,76.898568,28.51834,,,,,,0,,,0
najafgarh-daurala-road_202974527_1,Najafgarh Daurala Road,Najafgarh Daurala Road,primary,1.011,76.900594,28.52563,,,,,,0,,,0
najafgarh-daurala-road_202974527_2,Najafgarh Daurala Road,Najafgarh Daurala Road,primary,0.248,76.903886,28.526713,,,,,,0,,,0
urban-extension-road-ii_202979956_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.113,77.006769,28.579535,,,,,,0,,,0
urban-extension-road-ii_202979956_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.137,77.006987,28.574379,,,,,,0,,,0
urban-extension-road-ii_202980175_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.106,77.00663,28.579066,,,,,,0,,,0
urban-extension-road-ii_202980175_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.164,77.006749,28.584384,,,,,,0,,,0
urban-extension-road-ii_202981468_0,Urban Extension Road-II,Urban Extension Road-II,trunk,0.82,77.014094,28.678565,,,,,,0,,,0
dwarka-expressway_203589999_0,Dwarka Expressway,Dwarka Expressway,trunk,0.392,77.037374,28.539437,,,,,,0,,,0
rao-tula-ram-marg_203598792_0,Rao Tula Ram Marg,Rao Tula Ram Marg,primary,0.555,77.144317,28.575305,,,,,,8,0,0.0,1
road-number-201_203598793_0,Road Number 201,Road Number 201,primary,0.606,77.074333,28.59427,,,,,,8,3,0.375,1
unnamed_203599258_0,unnamed,unnamed,primary,0.245,77.080952,28.593541,,,,,,8,1,0.125,1
