segment_id,n_raw,n_kept
rohtak-road_171505930_0,0,0
rohtak-road_171505931_0,0,0
nangloi-flyover_171505932_0,0,0
nangloi-flyover_171505933_0,0,0
rohtak-road_171505934_0,0,0
rohtak-road_171505935_0,0,0
mahatma-gandhi-marg_171539220_0,0,0
mahatma-gandhi-marg_171539228_0,0,0
mahatma-gandhi-marg_171539228_1,0,0
bawana-road_171708712_0,0,0
bawana-road_171708713_0,0,0
unnamed_171719018_0,0,0
unnamed_171719018_1,0,0
bawana-road_171719022_0,0,0
bawana-road_171719029_0,0,0
bawana-road_171719029_1,0,0
unnamed_171719031_0,0,0
delhi-road_171719072_0,0,0
unnamed_171719098_0,0,0
bawana-road_171719144_0,0,0
nh344p_171719154_0,0,0
nh344p_171719155_0,0,0
unnamed_171719166_0,0,0
unnamed_171719171_0,0,0
mathura-road_172701715_0,0,0
mathura-road_172701715_1,31,4
unnamed_172701717_0,28,8
unnamed_173946378_0,0,0
delhi-dehradun-expressway_175769881_0,0,0
delhi-dehradun-expressway_175769881_1,0,0
delhi-dehradun-expressway_175769882_0,0,0
delhi-dehradun-expressway_175769882_1,0,0
delhi-dehradun-expressway_175769883_0,0,0
delhi-dehradun-expressway_175769884_0,0,0
delhi-dehradun-expressway_175769885_0,0,0
delhi-dehradun-expressway_175769886_0,0,0
delhi-dehradun-expressway_175769887_0,0,0
delhi-dehradun-expressway_175769888_0,0,0
ring-road_175769901_0,0,0
ring-road_175769901_1,0,0
vikas-marg_175769958_0,0,0
unnamed_175774708_0,0,0
unnamed_175774713_0,0,0
shahdara-flyover_175774714_0,0,0
shahdara-flyover_175774717_0,0,0
swami-dayanand-marg_175774742_0,0,0
road-number-57_175774745_0,0,0
road-number-57_175774746_0,0,0
gt-road_175774760_0,0,0
unnamed_175774765_0,0,0
hanuman-mandir-flyover_175800219_0,100,7
hanuman-mandir-flyover_175800226_0,100,8
shahdara-flyover_175800236_0,0,0
shahdara-flyover_175800236_1,0,0
shahdara-flyover_175800237_0,0,0
shahdara-flyover_175800237_1,0,0
gt-road_175800244_0,61,5
unnamed_175800250_0,0,0
g-t-road_175800253_0,93,6
g-t-road_175800255_0,0,0
shahdara-flyover_175800258_0,0,0
shahdara-flyover_175800261_0,0,0
gt-road_175800263_0,86,6
gt-road_175800265_0,0,0
gt-road_175800283_0,0,0
ring-road_175800298_0,80,5
loni-road_175803863_0,0,0
loni-road_175803863_1,0,0
loni-road_175803863_2,0,0
loni-road_175803864_0,0,0
loni-road_175803864_1,0,0
loni-road_175803864_2,0,0
loni-road_175803864_3,0,0
loni-road_175803864_4,0,0
loni-road_175803864_5,0,0
loni-road_175803864_6,0,0
loni-road_175803864_7,0,0
loni-road_175803864_8,0,0
loni-road_175803866_0,0,0
delhi-dehradun-expressway_175803867_0,0,0
delhi-dehradun-expressway_175803869_0,0,0
delhi-dehradun-expressway_175803869_1,0,0
delhi-dehradun-expressway_175803869_2,0,0
ring-road_175803876_0,80,5
ring-road_175803885_0,80,5
delhi-dehradun-expressway_175803909_0,0,0
delhi-dehradun-expressway_175803909_1,0,0
delhi-dehradun-expressway_175803910_0,0,0
delhi-dehradun-expressway_175803910_1,0,0
nh9_175803912_0,0,0
shahdara-flyover_175803918_0,0,0
nh9_175803947_0,0,0
nh9_175803947_1,0,0
unnamed_175803968_0,0,0
wazirabad-road_175804037_0,0,0
wazirabad-road_175804038_0,0,0
shahdara-flyover_175804059_0,0,0
shahdara-flyover_175804062_0,0,0
wazirabad-road_175804068_0,0,0
wazirabad-road_175804069_0,0,0
wazirabad-road_175804069_1,0,0
wazirabad-road_175804073_0,0,0
delhi-loni-road-flyover_175804080_0,0,0
delhi-loni-road-flyover_175804081_0,0,0
gt-road_175804082_0,57,4
wazirabad-road_175804084_0,0,0
wazirabad-road_175804087_0,0,0
wazirabad-road_175804088_0,0,0
gt-road_175804092_0,85,5
wazirabad-road_175804093_0,0,0
palam-marg_176162161_0,24,4
barapullah-road-flyover_176492659_0,0,0
unnamed_187993675_0,100,8
mathura-road_188616223_0,0,0
urban-extension-road-ii_189591732_0,0,0
urban-extension-road-ii_189591732_1,0,0
unnamed_189598821_0,0,0
unnamed_189598821_1,0,0
mahatma-gandhi-marg_189610307_0,82,7
mahatma-gandhi-marg_189610310_0,99,8
delhi-gurugram-expressway_190261045_0,0,0
delhi-gurugram-expressway_190261048_0,93,8
delhi-gurugram-expressway_190261052_0,95,6
delhi-gurugram-expressway_190261055_0,0,0
delhi-gurugram-expressway_190261057_0,0,0
masoodpur-flyover_190278387_0,0,0
nelson-mandela-marg_190297425_0,0,0
munirka-flyover_190307552_0,24,3
munirka-flyover_190307552_1,0,0
munirka-flyover_190307554_0,0,0
munirka-flyover_190307558_0,24,3
palam-marg_190307560_0,96,8
bharthal-railway-underpass_190358329_0,95,8
bharthal-railway-underpass_190358330_0,83,8
urban-extension-road-ii_193824811_0,0,0
urban-extension-road-ii_194271811_0,0,0
urban-extension-road-ii_194271811_1,0,0
kirby-place-junction_195207623_0,0,0
cariappa-marg_195207624_0,0,0
cariappa-marg_195207626_0,0,0
pankha-road_195207629_0,0,0
pankha-road_195207630_0,0,0
pankha-road_195207631_0,0,0
cariappa-marg_195207632_0,0,0
pankha-road_195207633_0,0,0
pankha-road_195207633_1,0,0
rohtak-road_198065394_0,0,0
rohtak-road_198065394_1,0,0
rohtak-road_198065397_0,0,0
mathura-road_202645528_0,0,0
mathura-road_202645528_1,0,0
mathura-road_202645528_2,0,0
mathura-road_202645529_0,100,8
rohtak-road_202664784_0,0,0
rohtak-road_202664784_1,0,0
rohtak-road_202664784_2,0,0
zakhira-flyover_202664785_0,0,0
panjabi-bagh-underpass_202664787_0,0,0
unnamed_202672558_0,0,0
abdul-gaffar-khan-marg_202672559_0,0,0
abdul-gaffar-khan-marg_202672559_1,0,0
anuvrat-marg_202672560_0,0,0
mahatma-gandhi-marg_202675176_0,95,8
nizamuddin-railway-station-flyover_202678360_0,0,0
doctor-kb-hedgewar-marg_202762524_0,100,8
doctor-kb-hedgewar-marg_202762524_1,77,7
mahatma-gandhi-road_202762525_0,100,8
delhi-meerut-expressway_202801080_0,0,0
delhi-meerut-expressway_202801081_0,0,0
flyover_202801082_0,0,0
delhi-meerut-expressway_202801083_0,0,0
flyover_202801084_0,0,0
flyover_202801085_0,0,0
flyover_202801086_0,0,0
delhi-meerut-expressway_202801087_0,0,0
sham-nath-marg_202830263_0,0,0
sham-nath-marg_202830263_1,0,0
mahatma-gandhi-marg_202830264_0,100,8
pankha-road_202970027_0,0,0
najafgarh-daurala-road_202974527_0,0,0
najafgarh-daurala-road_202974527_1,0,0
najafgarh-daurala-road_202974527_2,0,0
urban-extension-road-ii_202979956_0,0,0
urban-extension-road-ii_202979956_1,0,0
urban-extension-road-ii_202980175_0,0,0
urban-extension-road-ii_202980175_1,0,0
urban-extension-road-ii_202981468_0,0,0
dwarka-expressway_203589999_0,0,0
rao-tula-ram-marg_203598792_0,82,8
road-number-201_203598793_0,95,8
unnamed_203599258_0,100,8
unnamed_203599270_0,100,8
bawana-road_204980192_0,0,0
bawana-road_204980192_1,0,0
delhi-gurugram-expressway_205771483_0,100,8
delhi-gurugram-expressway_205771483_1,100,8
mahipalpur-flyover_205771485_0,100,8
mahipalpur-flyover_205771485_1,93,7
bawana-auchandi-border-road_206138925_0,0,0
delhi-dehradun-expressway_211144686_0,0,0
delhi-dehradun-expressway_211144687_0,0,0
delhi-dehradun-expressway_211144688_0,0,0
