segment_id,road,way_id,highway,km,mid_lon,mid_lat
road-number-57_76733280_2,Road Number 57,76733280,primary,0.084,77.280992,28.669267
karkari-mor-flyover_76733286_0,Karkari Mor Flyover,76733286,primary,0.838,77.298776,28.643933
akshardham-flyover_76834865_0,Akshardham Flyover,76834865,trunk,0.292,77.283419,28.613194
delhi-meerut-expressway_76834866_0,Delhi - Meerut Expressway,76834866,motorway,0.363,77.258487,28.598786
noida-link-road_76834869_0,Noida Link Road,76834869,trunk,0.302,77.280438,28.617169
dadri-road_76834871_0,Dadri Road,76834871,trunk,0.478,77.286051,28.609161
delhi-meerut-expressway_76834872_0,Delhi - Meerut Expressway,76834872,motorway,0.794,77.296343,28.620325
delhi-meerut-expressway_76834878_0,Delhi - Meerut Expressway,76834878,motorway,0.605,77.265873,28.602442
delhi-meerut-expressway_76834883_0,Delhi - Meerut Expressway,76834883,motorway,0.032,77.297783,28.620821
delhi-meerut-expressway_76834884_0,Delhi - Meerut Expressway,76834884,motorway,0.633,77.283256,28.613619
delhi-meerut-expressway_76834886_0,Delhi - Meerut Expressway,76834886,trunk,0.079,77.267218,28.603292
delhi-meerut-expressway_76834891_0,Delhi - Meerut Expressway,76834891,motorway,0.601,77.260437,28.599656
delhi-meerut-expressway_76834893_0,Delhi - Meerut Expressway,76834893,motorway,0.03,77.297553,28.620598
nh24-bypass_76834894_0,NH24 Bypass,76834894,trunk,0.188,77.28162,28.611413
delhi-meerut-expressway_76834898_0,Delhi - Meerut Expressway,76834898,motorway,0.27,77.269414,28.604023
flyover_76834899_0,Flyover,76834899,trunk,0.037,77.287497,28.616861
flyover_76834904_0,Flyover,76834904,trunk,0.16,77.28843,28.617283
delhi-meerut-expressway_76834905_0,Delhi - Meerut Expressway,76834905,motorway,0.036,77.287691,28.617267
akshardham-flyover_76834906_0,Akshardham Flyover,76834906,trunk,0.442,77.282468,28.614097
delhi-meerut-expressway_76834907_0,Delhi - Meerut Expressway,76834907,trunk,0.134,77.259376,28.599798
delhi-meerut-expressway_76834908_0,Delhi - Meerut Expressway,76834908,trunk,0.599,77.265603,28.602602
delhi-meerut-expressway_76834909_0,Delhi - Meerut Expressway,76834909,motorway,0.833,77.306726,28.623818
delhi-meerut-expressway_76842646_0,Delhi - Meerut Expressway,76842646,motorway,0.025,77.309028,28.624623
delhi-meerut-expressway_76842647_0,Delhi - Meerut Expressway,76842647,motorway,0.032,77.308832,28.624403
delhi-meerut-expressway_76842648_0,Delhi - Meerut Expressway,76842648,motorway,0.832,77.3068,28.623686
delhi-meerut-expressway_76842649_0,Delhi - Meerut Expressway,76842649,motorway,0.662,77.314187,28.626294
swami-dayanand-marg_76849181_0,Swami Dayanand Marg,76849181,primary,0.439,77.304984,28.637152
dnd-flyway_76849195_0,DND Flyway,76849195,motorway,0.594,77.292249,28.578917
swami-dayanand-marg_76849232_0,Swami Dayanand Marg,76849232,primary,0.047,77.302363,28.640005
swami-dayanand-marg_76849269_0,Swami Dayanand Marg,76849269,primary,0.049,77.301994,28.640283
dnd-flyway_76849306_0,DND Flyway,76849306,motorway,0.594,77.286867,28.576452
swami-dayanand-marg_76849332_0,Swami Dayanand Marg,76849332,primary,0.033,77.301791,28.640523
dnd-flyway_76849415_0,DND Flyway,76849415,motorway,0.718,77.296267,28.580313
delhi-meerut-expressway_76849496_0,Delhi - Meerut Expressway,76849496,motorway,0.316,77.317861,28.627519
unnamed_77004692_0,unnamed,77004692,trunk,0.138,77.28844,28.602712
unnamed_77004708_0,unnamed,77004708,trunk,0.132,77.288202,28.602381
jangpura-road-flyover_77015779_0,Jangpura Road Flyover,77015779,primary,0.135,77.253265,28.57917
jangpura-road-flyover_77015802_0,Jangpura Road Flyover,77015802,primary,0.026,77.252611,28.57991
jangpura-road-flyover_77015815_0,Jangpura Road Flyover,77015815,primary,0.141,77.251618,28.582133
jangpura-road-flyover_77015834_0,Jangpura Road Flyover,77015834,primary,0.027,77.252839,28.579744
mathura-road_77339655_0,Mathura Road,77339655,primary,0.495,77.250444,28.583903
mathura-road_77339656_0,Mathura Road,77339656,primary,0.766,77.246071,28.589747
mathura-road_77339657_0,Mathura Road,77339657,primary,0.079,77.247643,28.587031
mathura-road_77339658_0,Mathura Road,77339658,primary,0.078,77.248259,28.586482
jangpura-road-flyover_77349457_0,Jangpura Road Flyover,77349457,primary,0.072,77.254386,28.577516
mahatma-gandhi-marg_77349469_0,Mahatma Gandhi Marg,77349469,primary,0.31,77.26622,28.581458
modi-mill-flyover_77349473_0,Modi Mill Flyover,77349473,primary,0.193,77.267794,28.556072
jangpura-road-flyover_77349475_0,Jangpura Road Flyover,77349475,primary,0.07,77.254799,28.57714
mahatma-gandhi-marg_77349483_0,Mahatma Gandhi Marg,77349483,primary,0.118,77.263174,28.583404
outer-ring-road_77349484_0,Outer Ring Road,77349484,primary,0.374,77.265427,28.554398
mathura-road_77349488_0,Mathura Road,77349488,primary,0.273,77.257522,28.573676
mahatma-gandhi-marg_77349489_0,Mahatma Gandhi Marg,77349489,primary,0.559,77.26011,28.585463
mahatma-gandhi-marg_77349510_0,Mahatma Gandhi Marg,77349510,primary,0.118,77.264329,28.582909
jangpura-road-flyover_77349531_0,Jangpura Road Flyover,77349531,primary,0.073,77.254187,28.577784
outer-ring-road_77355797_0,Outer Ring Road,77355797,primary,0.176,77.260734,28.549058
kalkaji-flyover_77355798_0,Kalkaji Flyover,77355798,primary,0.052,77.259878,28.548708
kalkaji-flyover_77355803_0,Kalkaji Flyover,77355803,primary,0.515,77.263154,28.54971
unnamed_77363921_0,unnamed,77363921,primary,0.072,77.134337,28.570377
