segment_id,cv_images,cv_detections,cv_damage_per_frame
mathura-road_584241782_0,6,0,0.0
mathura-road_584241793_0,8,0,0.0
mathura-road_584241794_0,3,0,0.0
mathura-road_587123752_0,3,0,0.0
mathura-road_662141606_1,4,0,0.0
mathura-road_690251655_0,4,0,0.0
mathura-road_702121786_0,8,0,0.0
mathura-road_702121786_1,3,0,0.0
mathura-road_729701139_0,8,2,0.25
mathura-road_730237457_0,8,0,0.0
mathura-road_760129853_0,4,1,0.25
mathura-road_760525681_0,1,0,0.0
mathura-road_77339655_0,8,1,0.125
mathura-road_77339656_0,7,0,0.0
mathura-road_77339657_0,8,0,0.0
mathura-road_77339658_0,8,0,0.0
mathura-road_77349488_0,8,0,0.0
mehrauli-badarpur-road_1115923369_0,8,0,0.0
mehrauli-badarpur-road_168923897_1,8,0,0.0
mehrauli-badarpur-road_168923897_2,8,0,0.0
mehrauli-badarpur-road_168923899_0,8,0,0.0
mehrauli-badarpur-road_170460552_0,6,1,0.1667
mehrauli-badarpur-road_170460552_1,5,0,0.0
mehrauli-badarpur-road_170460553_0,2,0,0.0
mehrauli-badarpur-road_287870802_0,5,0,0.0
mehrauli-badarpur-road_287870802_1,8,0,0.0
mehrauli-badarpur-road_45734465_1,8,0,0.0
mehrauli-badarpur-road_566465686_0,1,0,0.0
mehrauli-badarpur-road_594082024_0,8,1,0.125
mehrauli-badarpur-road_604129885_0,8,0,0.0
mehrauli-badarpur-road_619116078_0,8,0,0.0
mehrauli-badarpur-road_759180596_0,8,0,0.0
modi-mill-flyover_1313220167_0,3,0,0.0
modi-mill-flyover_1313220169_0,2,0,0.0
modi-mill-flyover_566009662_0,6,1,0.1667
modi-mill-flyover_566680393_0,2,2,1.0
moolchand-underpass_44316338_0,8,1,0.125
moolchand-underpass_44316339_0,8,0,0.0
moolchand-underpass_556741446_0,8,0,0.0
moolchand-underpass_561759716_0,8,0,0.0
moolchand-underpass_563679827_0,8,2,0.25
moolchand-underpass_759020452_0,8,0,0.0
munirka-flyover_1312162611_0,1,0,0.0
munirka-flyover_1312162612_0,1,0,0.0
munirka-flyover_1312162613_0,1,0,0.0
munirka-flyover_190307552_0,3,0,0.0
munirka-flyover_190307558_0,3,0,0.0
naraina-flyover_619116046_0,4,0,0.0
naraina-flyover_619116047_0,7,0,0.0
naraina-flyover_619116077_0,1,0,0.0
naraina-flyover_77862381_0,8,1,0.125
naraina-flyover_77862381_1,8,0,0.0
naraina-flyover_77862391_0,5,0,0.0
naraina-flyover_77862399_0,8,0,0.0
national-highway-24-bypass-flyover_1314351467_0,7,0,0.0
national-highway-24-bypass-flyover_739709584_0,8,0,0.0
national-highway-24-bypass-flyover_739709585_0,8,1,0.125
national-highway-24-bypass-flyover_739709590_0,8,0,0.0
national-highway-24-bypass-flyover_739709594_0,8,0,0.0
national-highway-24-bypass-flyover_739709596_0,8,0,0.0
national-highway-24-bypass-flyover_76702787_0,8,0,0.0
national-highway-24-bypass_1314351466_0,3,0,0.0
nelson-mandela-marg_560463182_0,1,0,0.0
nh248bb_1283639343_0,5,0,0.0
nh248bb_1283639343_1,8,0,0.0
nh248bb_1283639345_0,4,0,0.0
nh248bb_1431236195_0,5,0,0.0
nh248bb_1431236196_0,3,0,0.0
nh248bb_1431236201_0,5,3,0.6
nh248bb_1431236202_0,2,0,0.0
nh248bb_293544334_0,8,0,0.0
nh248bb_35307401_2,1,0,0.0
nh248bb_35307537_0,8,0,0.0
nh48_22897615_0,2,0,0.0
nh48_28746242_0,2,1,0.5
nh48_34404760_1,2,0,0.0
nityanand-marg_1495181983_0,8,0,0.0
nityanand-marg_585446281_0,8,0,0.0
nityanand-marg_605840585_0,3,0,0.0
nityanand-marg_605840589_0,8,0,0.0
nityanand-marg_70214078_0,8,0,0.0
nityanand-marg_982296043_0,8,0,0.0
nityanand-marg_982296045_0,8,0,0.0
nityanand-marg_982296046_0,8,0,0.0
northern-access-rd_1380592286_0,4,0,0.0
okhla-estate-marg-flyover_1313011685_0,1,0,0.0
okhla-estate-marg-flyover_1313011686_0,1,0,0.0
okhla-estate-marg-flyover_670037896_0,1,0,0.0
outer-ring-road_1313220166_0,5,0,0.0
outer-ring-road_514521566_0,6,0,0.0
outer-ring-road_514521566_1,8,0,0.0
outer-ring-road_519444407_0,5,0,0.0
outer-ring-road_532737410_0,8,1,0.125
outer-ring-road_532737411_0,8,2,0.25
outer-ring-road_532737412_0,8,0,0.0
outer-ring-road_532737420_0,8,2,0.25
outer-ring-road_532737425_0,8,1,0.125
outer-ring-road_532737427_0,5,0,0.0
outer-ring-road_555197190_0,8,0,0.0
outer-ring-road_555197191_0,7,0,0.0
outer-ring-road_570526065_0,8,0,0.0
outer-ring-road_577665920_0,8,1,0.125
outer-ring-road_584150744_0,6,0,0.0
outer-ring-road_584150746_0,5,1,0.2
outer-ring-road_615472637_0,3,0,0.0
outer-ring-road_689499494_0,8,1,0.125
outer-ring-road_689705963_0,7,0,0.0
outer-ring-road_761403376_0,5,0,0.0
outer-ring-road_77349484_0,7,0,0.0
outer-ring-road_77355797_0,8,1,0.125
palam-marg_1056847236_0,3,0,0.0
palam-marg_1056847237_0,8,0,0.0
palam-marg_176162161_0,4,0,0.0
palam-marg_190307560_0,8,0,0.0
palam-marg_532737432_0,8,0,0.0
palam-marg_555517575_0,2,0,0.0
palam-marg_558065090_0,3,0,0.0
palam-marg_571167089_0,2,0,0.0
raja-garden-flyover_1312009499_0,8,0,0.0
raja-garden-flyover_619116045_0,8,0,0.0
raja-garden-flyover_619116052_0,8,0,0.0
raja-garden-flyover_619116072_0,8,1,0.125
raja-garden-flyover_619116073_0,8,0,0.0
raja-garden-flyover_77860395_0,8,0,0.0
raja-garden-flyover_77860398_0,8,1,0.125
rao-tula-ram-flyover_669205555_0,2,0,0.0
rao-tula-ram-marg_203598792_0,8,0,0.0
rao-tula-ram-marg_77364013_0,2,0,0.0
rd-no-224_1376114331_0,8,4,0.5
rd-no-224_1376114333_0,8,0,0.0
rd-no-224_35823388_0,8,1,0.125
rd-no-224_47290483_0,8,0,0.0
ring-road_1070839796_0,5,1,0.2
ring-road_1070839797_0,5,0,0.0
ring-road_1313200457_0,8,0,0.0
ring-road_175800298_0,5,1,0.2
ring-road_175803876_0,5,1,0.2
ring-road_175803885_0,5,0,0.0
ring-road_70220650_0,7,1,0.1429
ring-road_77617172_0,5,0,0.0
ring-road_77617172_1,5,0,0.0
road-number-201_1376114332_0,8,0,0.0
road-number-201_1376114334_0,8,0,0.0
road-number-201_203598793_0,8,3,0.375
road-number-201_532739767_0,8,0,0.0
sabz-burj-circle_24563333_0,8,1,0.125
sabz-burj-circle_680551204_0,8,0,0.0
sabz-burj-circle_680551205_0,8,0,0.0
sabz-burj-circle_680551213_0,8,0,0.0
sabz-burj-circle_680551214_0,8,0,0.0
sabz-burj-circle_680551215_0,8,0,0.0
sachivalaya-road-flyover_125736544_0,3,0,0.0
sachivalaya-road-flyover_1313450497_0,2,0,0.0
sachivalaya-road-flyover_614071992_0,3,0,0.0
south-extension-flyover_561759715_0,8,0,0.0
south-extension-flyover_563679828_0,8,1,0.125
ulan-batar-road_31097497_0,8,0,0.0
ulan-batar-road_541882688_0,6,0,0.0
ulan-batar-road_77364007_0,8,0,0.0
unnamed_1056820212_0,5,0,0.0
unnamed_1116321334_1,8,0,0.0
unnamed_1131995935_0,8,0,0.0
unnamed_1131995937_0,8,0,0.0
unnamed_1163972711_0,8,0,0.0
unnamed_1275223135_0,8,0,0.0
unnamed_1275223136_0,8,0,0.0
unnamed_1275541084_0,8,0,0.0
unnamed_1276018673_0,3,0,0.0
unnamed_1321789351_0,8,0,0.0
unnamed_1324615022_0,3,0,0.0
unnamed_1341418196_0,8,0,0.0
unnamed_1380592287_0,1,0,0.0
unnamed_1394097510_0,6,0,0.0
unnamed_1394097511_0,8,0,0.0
unnamed_1394097512_0,7,0,0.0
unnamed_1430444830_0,2,0,0.0
unnamed_1448200085_0,8,1,0.125
unnamed_1448200086_0,8,1,0.125
unnamed_170455123_0,8,0,0.0
unnamed_170455186_0,8,1,0.125
unnamed_170455193_0,8,0,0.0
unnamed_170455224_0,8,0,0.0
unnamed_172701717_0,8,0,0.0
unnamed_187993675_0,8,0,0.0
unnamed_203599258_0,8,1,0.125
unnamed_203599270_0,8,2,0.25
unnamed_386439543_0,7,0,0.0
unnamed_395885043_0,7,0,0.0
unnamed_395885044_0,2,0,0.0
unnamed_472576395_0,8,1,0.125
unnamed_581219448_0,7,1,0.1429
unnamed_594082008_0,2,0,0.0
unnamed_594082049_0,3,0,0.0
unnamed_594082052_0,5,0,0.0
unnamed_601365248_0,3,1,0.3333
unnamed_605840544_1,3,0,0.0
unnamed_608989231_0,8,0,0.0
unnamed_608989231_1,8,1,0.125
unnamed_615472621_0,8,0,0.0
unnamed_77363921_0,8,0,0.0
unnamed_77363957_0,8,0,0.0
